Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Vojvodina,Muško,Dvogodišnja ili trogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 120 minuta uz televiziju, 60 minuta uz radio, i 15 minuta na informativnim internet portalima. Ima puno poverenje u regionalne i lokalne TV stanice, dok nema poverenje u nacionalne. Najčešće prati RTS i informativno-dokumentarne programe, a interesuje ga naučno-obrazovni sadržaj i rijaliti program. Medijske sadržaje pronalazi isključivo preko RTS-a, a smatra da su štetni sadržaji najzastupljeniji u štampanim novinama, posebno u Alo novinama."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV i 360 minuta uz radio, dok ne koristi internet, kablovsku televiziju, striming servise ili društvene mreže. Ima puno poverenje u RTS i regionalne TV stanice, dok ne veruje kablovskim i specijalizovanim informativnim kanalima. Zainteresovan je za informativne, verske, filmske i sportske programe, a najčešće prati vesti i putopise. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u Informeru."
Vojvodina,Muško,Visoka  škola ili fakultet,Nezaposlen (radno sposoban),romska,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, provodeći 120 minuta dnevno gledajući televiziju, dok je vreme provedeno na radiju 45 minuta i na društvenim mrežama 65 minuta. Ne koristi striming servise i ne prati informativne portale. Ima neutralan stav prema poverenju u medije, posebno prema RTS-u, koji najčešće prati. Ispitanik kombinuje više medija za pronalaženje sadržaja, a najčešće se oslanja na kablovske i internet kanale. Zainteresovan je za raznovrsne medijske teme, ali smatra da su štetni sadržaji prisutni u medijima, posebno u magazinima."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Penzioner,neka druga,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću i provodi 180 minuta dnevno uz televiziju. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne veruje kablovskim i nekim društvenim mrežama. Zainteresovan je za informativne, zabavne i sportske programe, a najčešće prati informativno-dokumentarne sadržaje. Kombinuje više medija za pronalaženje sadržaja i svakodnevno koristi internet portale i društvene mreže. Smatra da u medijima nema štetnih sadržaja."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi internet usluge kao primarni medij, provodeći 120 minuta dnevno gledajući televiziju i 200 minuta na društvenim mrežama, dok ne prati kablovsku televiziju, striming servise ili radio. Najčešće prati TV stanice sa nacionalnom pokrivenošću, ali nema poverenja u njih. Prati TikTok, smatrajući da sadržaji nisu pravovremeni ili objektivni, ali su lako dostupni. Zainteresovan je za sportski program i zabavne sadržaje, dok ne prati dečije, verske ili dokumentarne programe. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Vojvodina,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi internet usluge kao primarni medij, provodeći 60 minuta dnevno uz televiziju, 20 minuta uz radio, 60 minuta na informativnim internet portalima i 180 minuta na društvenim mrežama, posebno YouTube-u. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje u nacionalne i štampane medije. Najčešće prati vesti i reportaže, a zabavne sadržaje kao humorističke emisije. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na internet portalima. Zainteresovan je za zabavne, muzičke i sportske programe."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 90 minuta dnevno gledajući televiziju i 60 minuta slušajući radio. Internet usluge i striming aplikacije su takođe deo njegovih medijskih navika, ali striming servise ne koristi često. Ispitanik izražava nedostatak poverenja u većinu medija, posebno u televizijske stanice, dok ima poverenje u medij Travel HD. Zainteresovan je za dokumentarne i naučno-obrazovne programe, ali ne prati sportski i rijaliti program. Kombinuje više medija kako bi pronašao sadržaje koji ga zanimaju, a smatra da su štetni sadržaji najzastupljeniji na televiziji."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije ili internet portale. Provodi 30 minuta dnevno gledajući televiziju, ali ne prati radio, društvene mreže ili druge medije. Ispitanik nema poverenja u sve vrste medija, uključujući nacionalne i lokalne TV stanice, kablovske kanale i internet portale, a ne prati nikakve specifične medijske sadržaje. Smatra da su štetni sadržaji najzastupljeniji na internet portalima, posebno na Informeru, i izražava zabrinutost zbog prisutnosti dezinformacija u medijima."
Zapadna Srbija sa Šumadijom,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 300 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne TV stanice i štampane medije, dok ne može da proceni poverenje u kablovske i internet portale. Najčešće prati program Pink, a interesuje ga informativni, dokumentarni i zabavni sadržaj. Iako smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, ne planira promenu medija koji prati, osim zbog kašnjenja informacija ili širenja dezinformacija."
Južna i Istočna Srbija,Žensko,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,romska,Grad (Urbano naselje),50 do 59,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati televiziju, provodeći 240 minuta dnevno uz TV, 160 minuta uz radio, 80 minuta uz informativne portale i 100 minuta na društvenim mrežama, posebno Facebook-u i Instagram-u. Ima poverenje u nacionalne i kablovske TV stanice, dok ne veruje specijalizovanim informativnim kanalima i internet portalima. Zainteresovan je za zabavne, kulturne i dečije programe, a najčešće prati informativno-zabavne emisije i reportaže. Kombinuje više medija za pronalaženje sadržaja, a Pink smatra medijem koji zadovoljava njegove interese."
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće provodi 120 minuta dnevno gledajući televiziju i 30 minuta na informativnim internet portalima, dok društvene mreže koriste 40 minuta. Ima potpuno nepovjerenje u sve medije, uključujući društvene mreže, a najčešće prati Facebook. Zainteresovan je za informativne, zabavne, filmske i serijske programe, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, dok internet usluge i društvene mreže takođe igraju značajnu ulogu u njegovim medijskim navikama. Prosečno provodi 60 minuta dnevno gledajući televiziju i informativne portale, dok radio sluša 120 minuta. Ima poverenje u kablovske i nacionalne TV stanice, kao i u internet portale, dok je skeptičan prema lokalnim medijima. Najčešće prati informativno-zabavne programe i kvizove, a dečije sadržaje i muzičke programe smatra veoma važnim. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 120 minuta dnevno uz televiziju, 60 minuta na društvenim mrežama i 20 minuta uz radio. Ne koristi striming servise i nema poverenja u većinu medija, ali prati TV B92 zbog sadržaja koji mu odgovara. Zainteresovan je za informativne i filmske sadržaje, dok ne prati dokumentarne, zabavne, dečije ili sportske programe. Medijske sadržaje pronalazi najčešće putem kablovskih i regionalnih TV stanica, kao i društvenih mreža, a preferira internet portale koji nude informativne i filmske sadržaje."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 120 minuta dnevno gledajući televiziju, dok internet portale i društvene mreže koristi 50 minuta. Ne koristi striming servise i nema poverenja u medije, uključujući Prvu TV, koju najčešće prati. Iako smatra da su štetni sadržaji prisutni u medijima, posebno na internetu i TikToku, ističe da mu kablovska televizija pruža pravovremene informacije. Zainteresovan je za informativne programe, dok ostale vrste sadržaja ne prati. Medijske sadržaje pronalazi isključivo preko Prve TV."
Južna i Istočna Srbija,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije i informativne internet portale. Dnevno provodi 200 minuta uz televiziju, 30 minuta uz radio i 60 minuta na društvenim mrežama. Ima nisko poverenje u medije, posebno u TV stanice i štampane medije, dok najčešće prati RTS. Zainteresovan je za zabavni, filmski i sportski program, ali ne prati rijaliti i verske programe. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće prati kablovsku televiziju, provodeći 30 minuta dnevno uz TV i 60 minuta uz informativne portale i društvene mreže. Ima puno poverenje u radio stanice i društvene mreže, dok ne veruje u TV stanice i štampane medije. Prati informativno zabavne programe i humorističke emisije, dok su mu prioriteti zabavni i filmski sadržaji. Ispitanik smatra da su štetni sadržaji najzastupljeniji u internet dnevnim novinama, posebno u Informeru."
Beograd,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 120 minuta dnevno uz TV i 120 minuta na društvenim mrežama. Ima poverenje u TV B92, koji prati svakodnevno, dok ne veruje u regionalne i lokalne TV stanice, kablovske kanale, štampane medije i internet portale. Zainteresovan je za informativne programe, dok su mu dokumentarni i kulturni sadržaji osrednje zanimljivi. Kombinuje više medija za pronalaženje sadržaja, ali smatra da u medijima nije zastupljen štetan sadržaj."
Vojvodina,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV i 120 minuta uz radio, dok ne koristi internet, kablovsku televiziju, striming servise ili društvene mreže. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativne programe i zabavne šou emisije, dok ne prati kulturno-umetnički i sportski program. Medijske sadržaje pronalazi isključivo preko TV stanica, smatrajući da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Muško,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 300 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati TV Happy, gde pronalazi sadržaje koji ga zanimaju svakodnevno. Zainteresovan je za informativne, dokumentarne, muzičke i zabavne programe, dok ne prati dečije, verske i sportske sadržaje. Smatra da u medijima nije zastupljen štetan sadržaj."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao jedinu medijsku uslugu, provodeći 240 minuta dnevno gledajući TV, dok ne koristi internet, društvene mreže ili striming aplikacije. Ima poverenje u nacionalne i regionalne TV stanice, ali ne i u štampane medije ili internet portale. Najčešće prati Prva TV i informativni program, dok su mu dokumentarni, kulturno-umetnički i sportski programi neinteresantni. Ispitanik smatra da su štetni sadržaji veoma zastupljeni u medijima, posebno na internetu, i preferira štampane dnevne novine koje bi pokrivale informativne teme."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge i striming aplikacije, dok kablovsku televiziju ne koristi. Najviše vremena provodi uz televiziju (300 minuta) i informativne internet portale (60 minuta). Ima nisko poverenje u većinu medija, posebno u televizijske stanice, dok ima poverenje u specijalizovane informativne kanale i YouTube. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati aktuelne informativne emisije i humorističke programe. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, a RTS prepoznaje kao medij sa najviše štetnih sadržaja."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi zemaljsku i kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati kablovsku televiziju. Dnevno provodi 45 minuta gledajući televiziju, 180 minuta na informativnim internet portalima i 240 minuta na društvenim mrežama, posebno TikToku. Ima neutralan stav prema poverenju u medije, a najčešće prati vesti. Zainteresovan je za informativne i naučno-obrazovne sadržaje, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji prisutni u medijima."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 60 minuta dnevno uz TV i radio. Ima puno poverenje u regionalne i lokalne TV stanice, dok za kablovske i specijalizovane kanale ne može da proceni. Najčešće prati informativno-dokumentarne programe i humorističke emisije, a dečije sadržaje i rijaliti programe smatra zanimljivim. Kombinuje više medija za pronalaženje sadržaja, a najčešće se oslanja na TV stanice. Smatra da u medijima nema štetnih sadržaja i ne vidi potrebu za promenom medija koji prati."
Vojvodina,Žensko,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),romska,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 120 minuta uz televiziju i 200 minuta uz radio. Ima puno poverenje u nacionalne i regionalne TV stanice, kao i u radio stanice, dok ne veruje u specijalizovane informativne kanale i internet portale. Najčešće prati informativno zabavne programe i putopise, a medijske sadržaje pronalazi kombinovanjem više različitih medija. Zainteresovan je za dokumentarne i kulturno-umetničke programe, dok smatra da u medijima nema štetnih sadržaja."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 200 minuta dnevno gledajući televiziju, dok internet i društvene mreže takođe igraju značajnu ulogu u njegovim medijskim navikama. Najčešće prati vesti i filmske serije, dok je zainteresovan za zabavni program i sportske prenose. Ima poverenje u Facebook, ali ne i u druge medije, smatrajući da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu NovaS. Kombinuje više medija kako bi pronašao relevantne informacije, a promene u uređivačkoj politici i širenje dezinformacija mogli bi uticati na njegov izbor medija."
Beograd,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće provodi 120 minuta dnevno gledajući televiziju i 240 minuta na društvenim mrežama, posebno YouTube-u, koji je i medij koji najčešće prati. Ispitanik ne izražava poverenje u medije i ne zna kako bi ocenio njihovu pouzdanost. Zainteresovan je za zabavni program, posebno šou programe, dok ne prati informativne, dokumentarne ili sportske sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najčešće pronalazi informacije putem YouTube-a i društvenih mreža."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 150 minuta dnevno gledajući televiziju i 200 minuta slušajući radio. Internet usluge su prisutne, ali striming aplikacije se ne koriste. Ima poverenje u nacionalne i regionalne TV stanice, dok je neodređen prema kablovskim i specijalizovanim kanalima. Najčešće prati informativne programe i vesti, dok su zabavni i dokumentarni sadržaji manje interesantni. Ispitanik se svakodnevno oslanja na TV i radio za informacije, ali ne koristi društvene mreže. Zabrinut je zbog mogućih dezinformacija u medijima."
Južna i Istočna Srbija,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima poverenje u nacionalne TV stanice i najčešće prati TV Happy, gde svakodnevno pronalazi sadržaje koji ga zanimaju. Zainteresovan je za informativne programe, zabavne sadržaje i rijaliti, dok ne prati kulturno-umetničke, dečije ili sportske programe. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,neka druga,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije ili internet portale. Dnevno provodi 420 minuta uz televiziju, najčešće prateći informativno-zabavne programe i šou emisije. Ima poverenje u TV stanice koje su vidljive na teritoriji Srbije, ali ne prati lokalne i kablovske stanice. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno pronalazi zanimljive teme na RTS-u. Smatra da u medijima nije zastupljen štetan sadržaj."
Zapadna Srbija sa Šumadijom,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 300 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne TV stanice, dok za lokalne i kablovske nema mišljenje. Najčešće prati informativni program i kvizove, dok ne prati dokumentarne, kulturne, zabavne ili sportske programe. Medijske sadržaje pronalazi isključivo preko Informera i smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na N1."
Beograd,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 600 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima poverenje u nacionalne TV stanice i prati vesti, zabavne šou programe i reportaže. Zainteresovan je za informativne i muzičke sadržaje, dok ne prati kulturno-umetnički i dečiji program. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati RTS, smatrajući da medij zadovoljava njegove interese. Ne zna koliko su štetni sadržaji zastupljeni u medijima."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 120 minuta dnevno gledajući televiziju, dok internet usluge i radio takođe koriste, ali bez poverenja u većinu medija. Ne prati društvene mreže i striming servise. Najčešće prati informativno-dokumentarne programe i domaće serije, dok je zainteresovan za informativne i sportske sadržaje. Ispitanik kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji. Poverenje u medije je nisko, a razlozi za izbor medija su nejasni."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati kablovsku televiziju i provodi 120 minuta dnevno gledajući televiziju, uz dodatnih 120 minuta na društvenim mrežama, posebno Facebook-u. Ima osrednje poverenje u informativne internet portale, dok ne veruje u većinu TV stanica. Zanimaju ga informativni, dokumentarni i kulturno-umetnički programi, ali ne prati sportski i dečiji program. Kombinuje više medija za pronalaženje sadržaja i često se oslanja na Facebook za informacije."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik provodi 60 minuta dnevno gledajući televiziju i 60 minuta slušajući radio, dok informativne internet portale prati 120 minuta. Koristi kablovske TV stanice kao primarni izvor informacija, ali nema poverenja u medije koje prati, uključujući i društvene mreže. Ne prati striming servise, a najčešće koristi Twitter. Iako kombinuje više medija za pronalaženje sadržaja, ne može da proceni koliko često pronalazi zanimljive teme. Ispitanik ne pokazuje interesovanje za različite medijske teme i ne zna koliko su štetni sadržaji zastupljeni u medijima."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik ne koristi zemaljsku i kablovsku televiziju, ali koristi internet usluge i provodi 60 minuta dnevno na informativnim internet portalima. Najčešće prati YouTube, ali nema poverenja u medije, uključujući TV stanice i internet portale. Nepristrasnost i pravovremenost informacija nisu mu važni, dok mu je dostupnost sadržaja bitna. Ne prati zabavne, dokumentarne, naučno-obrazovne, kulturne, sportske i dečije programe, ali bi voleo da medij pokriva igre. Ispitanik smatra da su štetni sadržaji u medijima prisutni, ali ne može da proceni njihovu zastupljenost."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije i društvene mreže. Najčešće prati TV stanice sa nacionalnom pokrivenošću, provodeći 60 minuta dnevno uz televiziju i 120 minuta uz radio. Ispitanik nema poverenja u medije koje prati, a najčešće se informiše putem portala Blic. Zainteresovan je za informativne, dokumentarne, kulturne i sportske programe, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno koristi TV, radio i internet portale."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, a najčešće prati internet portale i društvene mreže, posebno Instagram. Dnevno provodi 60 minuta uz televiziju, 60 minuta na informativnim portalima, 30 minuta na društvenim mrežama i 60 minuta na striming servisima. Ima poverenje u regionalne TV stanice, radio stanice i internet portale, dok ne veruje u nacionalne TV stanice i štampane medije. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje u internet dnevnim novinama. Zainteresovan je za informativne, zabavne i muzičke programe, dok ne prati sportski i dečiji program."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi internet usluge i striming aplikacije, dok ne koristi zemaljsku i kablovsku televiziju. Najčešće prati informativne portale i provodi 30 minuta dnevno uz televiziju, radio i striming servise, dok 60 minuta provodi na društvenim mrežama. Ima puno poverenje u nacionalne i specijalizovane informativne kanale, kao i u internet portale. Prati medijske sadržaje pretežno putem jednog medija, a najčešće prati vesti i putopise. Zainteresovan je za naučno-obrazovne i dokumentarne programe, dok smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama."
Beograd,Muško,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik ne koristi aktivno medijske i komunikacijske usluge, uključujući televiziju, radio, internet portale i striming servise, sa zabeleženim vremenom provedenim uz medije od 0 minuta dnevno. Najčešće prati TV stanice sa nacionalnom pokrivenošću, posebno Pink, ali nema jasno izraženo poverenje u njih. Ispitanik ne može da proceni razloge za izbor medija, niti je zainteresovan za specifične medijske teme ili sadržaje. Takođe, ne zna koliko su štetni sadržaji zastupljeni u medijima."
Vojvodina,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, provodeći 150 minuta dnevno uz televiziju, 45 minuta uz informativne portale i 30 minuta na društvenim mrežama. Najčešće prati Mondo, uz puno poverenje u taj medij. Ima poverenje u kablovske TV stanice i radio, dok je umeren prema nacionalnim TV stanicama. Zainteresovan je za dečije, verske i filmske sadržaje, a najčešće prati prenose sednica. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na Pinku."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi internet usluge za medijsku potrošnju, provodeći 240 minuta dnevno gledajući televiziju, dok ne koristi radio, društvene mreže ili striming servise. Ima poverenje u nacionalne TV stanice i najčešće prati vesti i dokumentarne reportaže. Razlozi za izbor medija uključuju pravovremene informacije i poverenje, dok bi gubitak poverenja ili promena formata mogli uticati na promenu izbora. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno se informiše putem nacionalnih TV stanica, dok lokalne i kablovske stanice koriste ređe."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 360 minuta dnevno uz TV i 120 minuta uz radio, dok ne koristi internet, kablovsku televiziju, striming servise ili društvene mreže. Ima poverenje u nacionalne TV stanice i štampane medije, dok ne veruje u društvene mreže. Najčešće prati vesti i reportaže, a preferira televiziju kao medij koji bi trebao pokrivati informativne i dokumentarne programe. Ispitanik smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, uz dodatne internet usluge i striming aplikacije. Dnevno provodi 120 minuta gledajući televiziju, 60 minuta slušajući radio, i 120 minuta na društvenim mrežama. Najčešće prati regionalne i lokalne TV stanice, ali nema poverenja u većinu medija, uključujući nacionalne TV stanice i društvene mreže. Zainteresovan je za informativne, dokumentarne i sportske sadržaje, dok zabavni programi i rijaliti emisije nisu prioritet. Kombinuje više medija za pronalaženje sadržaja, a štetne sadržaje u medijima ne smatra prisutnim."
